primary_sta,secondary_sta,orbitNumber_primary,orbitDirection_primary,ascendingNodeDate_primary,startTimeFromAscendingNode_primary,completionTimeFromAscendingNode_primary,dataTakeID_primary,primaryImageSelectionInformation_secondary,normalBaseline_secondary,averageRangeCoregistrationShift_secondary,averageAzimuthCoregistrationShift_secondary,orbitNumber_secondary,orbitDirection_secondary,ascendingNodeDate_secondary,startTimeFromAscendingNode_secondary,completionTimeFromAscendingNode_secondary,dataTakeID_secondary,centerLat_secondary,centerLon_secondary,mean(|coh|),min(|coh|),max(|coh|),median(|coh|),frame,phaseCorrectionMode,date_primary,date_secondary
BIO_S1_STA__1S_20250612T095850_20250612T095910_C_G___M___C___T____F005_01_DGR2K4,BIO_S1_STA__1S_20250621T095851_20250621T095912_C_G___M___C___T____F005_01_DGR2KW,646,ASCENDING,2025-06-12T08:19:23.196Z,5966978,5987753,5297345,Geometry,604.3198938897166,-278.70585951897255,-62.56699317942255,778,ASCENDING,2025-06-12T08:19:23.196Z,5966978,5987753,6378689,4.710325,-63.041594,0.6348723149688535,0.0001474266164788033,0.9999999999999999,0.6594476241356488,5,None,20250612T095850,20250621T095851
BIO_S1_STA__1S_20250612T171143_20250612T171204_C_G___M___C___T____F132_01_DGX5LS,BIO_S1_STA__1S_20250621T171145_20250621T171205_C_G___M___C___T____F132_01_DGX5LJ,651,DESCENDING,2025-06-12T16:30:17.857Z,2485655,2506414,5335409,Geometry,-524.0342451888997,340.7397771076336,-1814.4288462691818,783,DESCENDING,2025-06-12T16:30:17.857Z,2485655,2506414,6416753,26.484024,18.97411,0.25652790711336054,4.473832182815572e-05,0.9999999999999999,0.227284905925583,132,None,20250612T171143,20250621T171145
BIO_S1_STA__1S_20250612T221254_20250612T221315_C_G___M___C___T____F153_01_DGQO49,BIO_S1_STA__1S_20250615T221253_20250615T221314_C_G___M___C___T____F153_01_DGQO51,654,DESCENDING,2025-06-12T21:24:50.428Z,2884220,2904994,5360324,Geometry,387.9774910398664,-186.59516941280623,51.432563696709856,698,DESCENDING,2025-06-12T21:24:50.428Z,2884220,2904994,5720772,2.29154,-60.365843,0.773392141655301,0.00047928323838997996,0.9999999999999999,0.8125890241304905,153,None,20250612T221254,20250615T221253
BIO_S1_STA__1S_20250612T221758_20250612T221819_C_G___M___C___T____F169_01_DGR35X,BIO_S1_STA__1S_20250618T221758_20250618T221819_C_G___M___C___T____F169_01_DGR379,654,DESCENDING,2025-06-12T21:24:50.428Z,3188156,3208947,5360324,Geometry,127.93825468909607,29.426528640759955,-163.75600337646713,742,DESCENDING,2025-06-12T21:24:50.428Z,3188156,3208947,6081220,-16.198011,-64.210716,0.6051279798939323,3.2413992861628595e-05,0.9999999999999999,0.6467043277979923,169,None,20250612T221758,20250618T221758
BIO_S1_STA__1S_20250612T221817_20250612T221838_C_G___M___C___T____F170_01_DGR0YW,BIO_S1_STA__1S_20250618T221817_20250618T221838_C_G___M___C___T____F170_01_DGR0YC,654,DESCENDING,2025-06-12T21:24:50.428Z,3207038,3227828,5360324,Geometry,123.50384581166527,18.886683100847062,-521.1544341244014,742,DESCENDING,2025-06-12T21:24:50.428Z,3207038,3227828,6081220,-17.348426,-64.433614,0.37634617304242896,5.5605679550988655e-05,0.9999999999999999,0.34299848141227385,170,None,20250612T221817,20250618T221817
BIO_S1_STA__1S_20250612T221817_20250612T221838_C_G___M___C___T____F170_01_DGR0YW,BIO_S1_STA__1S_20250621T221819_20250621T221840_C_G___M___C___T____F170_01_DGR0ZI,654,DESCENDING,2025-06-12T21:24:50.428Z,3207038,3227828,5360324,Geometry,-691.0193742108494,320.4566158914316,-539.5970912179657,786,DESCENDING,2025-06-12T21:24:50.428Z,3207038,3227828,6441668,-17.348426,-64.433614,0.43203326194626446,5.663784233938291e-05,0.9999999999999999,0.4327307369743666,170,None,20250612T221817,20250621T221819
BIO_S1_STA__1S_20250612T222011_20250612T222032_C_G___M___C___T____F176_01_DGQX80,BIO_S1_STA__1S_20250615T222010_20250615T222031_C_G___M___C___T____F176_01_DGQX8A,654,DESCENDING,2025-06-12T21:24:50.428Z,3321202,3341998,5360324,Geometry,313.75968817746417,-179.10020116953982,-223.0879954256182,698,DESCENDING,2025-06-12T21:24:50.428Z,3321202,3341998,5720772,-24.288663,-65.847837,0.6701349246218498,2.790900723760733e-05,0.9999999999999999,0.7251296338180446,176,None,20250612T222011,20250615T222010
BIO_S1_STA__1S_20250612T222011_20250612T222032_C_G___M___C___T____F176_01_DGQX80,BIO_S1_STA__1S_20250618T222011_20250618T222032_C_G___M___C___T____F176_01_DGQX94,654,DESCENDING,2025-06-12T21:24:50.428Z,3321202,3341998,5360324,Geometry,95.94774253967303,15.318850298533173,-557.9359111274371,742,DESCENDING,2025-06-12T21:24:50.428Z,3321202,3341998,6081220,-24.288663,-65.847837,0.5604820377469517,4.939539251259959e-05,0.9999999999999999,0.5739101741146506,176,None,20250612T222011,20250618T222011
BIO_S1_STA__1S_20250612T222243_20250612T222304_C_G___M___C___T____F184_01_DGQXC5,BIO_S1_STA__1S_20250618T222243_20250618T222304_C_G___M___C___T____F184_01_DGQXCE,654,DESCENDING,2025-06-12T21:24:50.428Z,3473477,3494280,5360324,Geometry,57.82189100235594,51.08113161231825,-8.147831899921414,742,DESCENDING,2025-06-12T21:24:50.428Z,3473477,3494280,6081220,-33.500271,-67.972306,0.8956124801047596,0.0009248141406025455,0.9999999999999999,0.9217836817539675,184,None,20250612T222243,20250618T222243
BIO_S1_STA__1S_20250613T102300_20250613T102321_C_G___M___C___T____F288_01_DGQSM7,BIO_S1_STA__1S_20250616T102259_20250616T102320_C_G___M___C___T____F288_01_DGQSMG,661,ASCENDING,2025-06-13T08:52:06.786Z,5453728,5474527,5420281,Geometry,-510.6711404399779,206.3804350260046,139.0837445864301,705,ASCENDING,2025-06-13T08:52:06.786Z,5453728,5474527,5780729,-26.470477,-64.608591,0.5510725118597922,0.0001710884404657764,0.9999999999999999,0.5726630151763636,288,None,20250613T102300,20250616T102259
